[ERROR] [17:43:03,156] main com.parasoft.xtest.checkers.api.rules.RulesCore: URL is nul in rule provider com.parasoft.xtest.execution.eclipse.core.web.checker
[INFO ] [17:43:04,328] Thread-21 com.parasoft.stub.Logger: Starting Server...
[INFO ] [17:43:21,600] Thread-21 com.parasoft.stub.report.Logger: Builtin event monitoring provider started on port 9617
[INFO ] [17:43:22,694] Thread-21 com.parasoft.stub.report.events.Logger: Event monitoring service started
[INFO ] [17:43:23,598] Thread-21 com.parasoft.stub.report.Logger: Builtin hit statistics provider started on port 9618
[INFO ] [17:43:23,619] Thread-21 com.parasoft.stub.report.statistics.Logger: Server hit statistics service started
[INFO ] [17:43:23,621] Thread-21 com.parasoft.stub.Logger: Server started.
[INFO ] [17:43:23,627] Thread-21 com.parasoft.stub.deployment.Logger: Deploying all assets...
[INFO ] [17:43:24,260] Thread-21 com.parasoft.stub.deployment.Logger: Deploying virtual asset...
[INFO ] [17:43:24,273] psft_pool-4-DeployerThread-1 com.parasoft.stub.deployment.Logger: 	Name="LoginService", Path="/Service1.svc", Location="G:\manas\work\TestApplications\DotNet\LoginWebWithServiceCall\ParasoftVirtualize\LoginServiceVirtualize\VirtualAssets\LoginService.pva".
[INFO ] [17:43:24,294] psft_pool-4-DeployerThread-1 com.parasoft.stub.deployment.Logger: Deployment finished
[INFO ] [17:43:24,295] Thread-21 com.parasoft.stub.deployment.Logger: Deployment of all assets has finished
[INFO ] [17:43:24,297] Thread-21 com.parasoft.stub.deployment.Logger: Deployment of [1] asset(s) took: 674 ms.
